implementation,family,width,exact,value,rel_error,claimed_abs,claimed_rel,warned,error,verdict
adaptive Simpson (NumPy),centred,1e-05,1.772453850905516e-05,1.7724538509517613e-05,2.6091110011709286e-11,1.6198322181172213e-15,9.138924645567935e-11,False,,pass
adaptive Simpson (NumPy),centred,1e-06,1.7724538509055158e-06,1.7724538509114755e-06,3.3624140983058816e-12,1.458205028325764e-16,8.22704087658357e-11,False,,pass
adaptive Simpson (NumPy),centred,1e-08,1.7724538509055158e-08,1.7724538510066555e-08,5.706196768814782e-11,2.043683978469538e-18,1.1530252127159505e-10,False,,pass
adaptive Simpson (NumPy),centred,1e-10,1.772453850905516e-10,1.772453851103397e-10,1.1164239309655198e-10,1.6999113714513175e-20,9.590722887272141e-11,False,,pass
adaptive Simpson (NumPy),centred,1e-12,1.7724538509055158e-12,1.7724538509241706e-12,1.0524832975901939e-11,1.613082212386314e-22,9.10084181634528e-11,False,,pass
adaptive Simpson (NumPy),offcentre,0.1,0.1772453850905516,0.17724538509326174,1.5290314433023412e-11,1.8675056062912045e-11,1.0536272102865348e-10,False,,pass
adaptive Simpson (NumPy),offcentre,0.01,0.01772453850905516,1.6390091583796562e-121,1.0,1.0243807239872851e-122,5.779449340607355e-121,False,,SILENT
adaptive Simpson (NumPy),offcentre,0.001,0.001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,0.0001,0.0001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,1e-05,1.772453850905516e-05,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,1e-06,1.7724538509055158e-06,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,1e-08,1.7724538509055158e-08,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,1e-10,1.772453850905516e-10,0.0,1.0,0.0,0.0,False,,SILENT
adaptive Simpson (NumPy),offcentre,1e-12,1.7724538509055158e-12,0.0,1.0,0.0,0.0,False,,SILENT
fixed Simpson (NumPy),centred,0.1,0.1772453850905516,0.17724538509055157,1.5659406647709935e-16,,,False,,pass
fixed Simpson (NumPy),centred,0.01,0.01772453850905516,0.017724538509055143,9.787129154818709e-16,,,False,,pass
fixed Simpson (NumPy),centred,0.001,0.001772453850905516,0.0014310170408337155,0.1926350916822835,,,False,,SILENT
fixed Simpson (NumPy),centred,0.0001,0.0001772453850905516,0.0013333333333333333,6.52252778063675,,,False,,SILENT
fixed Simpson (NumPy),centred,1e-05,1.772453850905516e-05,0.0013333333333333333,74.22527780636752,,,False,,SILENT
fixed Simpson (NumPy),centred,1e-06,1.7724538509055158e-06,0.0013333333333333333,751.2527780636751,,,False,,SILENT
fixed Simpson (NumPy),centred,1e-08,1.7724538509055158e-08,0.0013333333333333333,75224.27780636752,,,False,,SILENT
fixed Simpson (NumPy),centred,1e-10,1.772453850905516e-10,0.0013333333333333333,7522526.780636751,,,False,,SILENT
fixed Simpson (NumPy),centred,1e-12,1.7724538509055158e-12,0.0013333333333333333,752252777.063675,,,False,,SILENT
fixed Simpson (NumPy),offcentre,0.1,0.1772453850905516,0.17724538509055157,1.5659406647709935e-16,,,False,,pass
fixed Simpson (NumPy),offcentre,0.01,0.01772453850905516,0.017724538509055143,9.787129154818709e-16,,,False,,pass
fixed Simpson (NumPy),offcentre,0.001,0.001772453850905516,0.0019362932953001955,0.09243650790173001,,,False,,SILENT
fixed Simpson (NumPy),offcentre,0.0001,0.0001772453850905516,1.33042917139549e-22,1.0,,,False,,SILENT
fixed Simpson (NumPy),offcentre,1e-05,1.772453850905516e-05,0.0,1.0,,,False,,SILENT
fixed Simpson (NumPy),offcentre,1e-06,1.7724538509055158e-06,0.0,1.0,,,False,,SILENT
fixed Simpson (NumPy),offcentre,1e-08,1.7724538509055158e-08,0.0,1.0,,,False,,SILENT
fixed Simpson (NumPy),offcentre,1e-10,1.772453850905516e-10,0.0,1.0,,,False,,SILENT
fixed Simpson (NumPy),offcentre,1e-12,1.7724538509055158e-12,0.0,1.0,,,False,,SILENT
R integrate (QUADPACK),centred,0.1,0.1772453850905516,0.1772453850905528,6.733544858515272e-15,1.7941878744298298e-07,1.0122621096809998e-06,False,,pass
R integrate (QUADPACK),centred,0.01,0.01772453850905516,0.01772453850903981,8.661609302014558e-13,2.9972250475836758e-06,0.0001691003151395138,False,,pass
R integrate (QUADPACK),centred,0.001,0.001772453850905516,0.0017724535752643212,1.5551389088302594e-07,6.886907409212796e-05,0.038855214231357245,False,,pass
R integrate (QUADPACK),centred,0.0001,0.0001772453850905516,1.9751905622293678e-207,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),centred,1e-05,1.772453850905516e-05,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),centred,1e-06,1.7724538509055158e-06,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),centred,1e-08,1.7724538509055158e-08,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),centred,1e-10,1.772453850905516e-10,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),centred,1e-12,1.7724538509055158e-12,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,0.1,0.1772453850905516,0.1772453850905611,5.3555170735167984e-14,5.385020075965308e-07,3.038172234055174e-06,False,,pass
R integrate (QUADPACK),offcentre,0.01,0.01772453850905516,0.01772453850920094,8.22471185654345e-12,3.4161541896074454e-05,0.0019273586095695475,False,,pass
R integrate (QUADPACK),offcentre,0.001,0.001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,0.0001,0.0001772453850905516,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,1e-05,1.772453850905516e-05,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,1e-06,1.7724538509055158e-06,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,1e-08,1.7724538509055158e-08,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,1e-10,1.772453850905516e-10,0.0,1.0,0.0,0.0,False,,SILENT
R integrate (QUADPACK),offcentre,1e-12,1.7724538509055158e-12,0.0,1.0,0.0,0.0,False,,SILENT
